Proteome Id	Organism	Organism Id	Protein count
UP000032361	Tamlana nanhaiensis	1382798	3029
UP000032409	Peptoniphilus sp. ING2-D1G	1912856	1528
UP000032414	Legionella micdadei (Tatlockia micdadei)	451	2989
UP000032417	Fermentimonas caenicola	1562970	2391
UP000032430	Legionella fallonii LLAP-10	1212491	3840
UP000032431	[Clostridium] cellulosi	29343	2007
UP000032434	Acholeplasma oculi	35623	1468
UP000032438	Moritella viscosa	80854	4219
UP000032452	Aliterella atlantica CENA595	1618023	4366
UP000032483	Ruthenibacterium lactatiformans	1550024	3493
UP000032512	Mesobacillus subterraneus	285983	3465
UP000032531	Pseudomonas sp. FeS53a	1604022	5389
UP000032544	Draconibacterium sediminis	1544798	4126
UP000032566	Acidovorax temperans	80878	3750
UP000032568	Thalassomonas actiniarum	485447	5460
UP000032668	Acidocella aminolytica 101 = DSM 11237	1120923	3751
UP000032670	Acetobacter orientalis	146474	2561
UP000032679	Tanticharoenia sakaeratensis NBRC 103193	1231623	3154
UP000032680	Acidisphaera rubrifaciens HS-AP3	1231350	2788
UP000032687	Escherichia phage P483	1572753	45
UP000032733	Magnetospira sp. (strain QH-2) (Marine magnetic spirillum (strain QH-2))	1288970	3700
UP000032737	Paracholeplasma brassicae	61635	1671
UP000032740	Alteracholeplasma palmae (strain ATCC 49389 / J233) (Acholeplasma palmae)	1318466	1433
UP000032743	Paracoccus sp. 228	1192054	3463
UP000032747	Flavobacterium sp. 316	1603293	3356
UP000032749	Oleispira antarctica RB-8	698738	3895
UP000032809	Defluviitoga tunisiensis	1006576	1811
UP000032871	Aggregatibacter segnis ATCC 33393	888057	1956
UP000032900	Geofilum rubicundum JCM 15548	1236989	4411
UP000033012	Enterobacter phage E-3	1636314	36
UP000033026	Citrobacter phage phiCFP-1	1610508	43
UP000033035	Parabacteroides gordonii MS-1 = DSM 23371	1203610	5316
UP000033048	Methanococcoides methylutens MM1	1434104	2203
UP000033049	Methanosarcina sp. MTP4	1434100	3238
UP000033121	Flavihumibacter petaseus NBRC 106054	1220578	4759
UP000033140	Saitoella complicata (strain BCRC 22490 / CBS 7301 / JCM 7358 / NBRC 10748 / NRRL Y-17804)	698492	7118
UP000033187	Candidatus Filomicrobium marinum	1608628	4045
UP000033188	Babesia bigemina	5866	4432
UP000033201	Sphingomonas sp. Ant20	104605	3084
UP000033202	Sphingomonas changbaiensis NBRC 104936	1219043	3151
UP000033203	Sphingomonas melonis	152682	3041
UP000033220	Pararhodospirillum photometricum DSM 122	1150469	3275
UP000033358	Candidatus Arcanobacter lacustris	1607817	815
UP000033393	Lentzea aerocolonigenes (Lechevalieria aerocolonigenes) (Saccharothrix aerocolonigenes)	68170	8237
UP000033409	Saccharothrix sp. ST-888	1427391	5936
UP000033411	Devosia epidermidihirudinis	1293439	3353
UP000033425	Microbacterium sp. SA39	1263625	3732
UP000033428	Candidatus Omnitrophus magneticus	1609969	2573
UP000033442	Desulfosporosinus sp. I2	1617025	5500
UP000033448	Microbacterium azadirachtae	582680	3744
UP000033449	Salinivibrio sp. KP-1	1406902	3027
UP000033451	Microbacterium ginsengisoli	400772	2779
UP000033452	Pseudoalteromonas rubra	43658	4390
UP000033462	Pseudomonas sp. 21	1619948	5539
UP000033483	Thielaviopsis punctulata	72032	5254
UP000033514	Devosia soli	361041	3705
UP000033540	Aspergillus parasiticus (strain ATCC 56775 / NRRL 5862 / SRRC 143 / SU-1)	1403190	8651
UP000033558	Bombilactobacillus mellifer	1218492	1592
UP000033562	Candidatus Neoehrlichia lotoris str. RAC413	1359163	1017
UP000033569	Streptomyces sp. NRRL F-4428	1609137	5663
UP000033572	Microbacterium foliorum	104336	3324
UP000033604	Clostridium sp. FS41	1609975	5722
UP000033607	Limnoraphis robusta CS-951	1637645	5035
UP000033608	Devosia limi DSM 17137	1121477	3824
UP000033616	Orientia chuto str. Dubai	1359168	1067
UP000033618	Robbsia andropogonis	28092	4737
UP000033632	Devosia geojensis	443610	3992
UP000033633	Photobacterium halotolerans	265726	3968
UP000033641	Streptomyces sp. WM6386	1415558	8143
UP000033647	Zymoseptoria brevis	1047168	10566
UP000033649	Devosia chinhatensis	429727	3103
UP000033664	Pseudoalteromonas ruthenica	151081	3470
UP000033673	Vibrio galatheae	579748	3604
UP000033680	Sphingomonas sp. SRS2	133190	4289
UP000033682	Lactobacillus apis	303541	1508
UP000033684	Methylocucumis oryzae	1632867	2947
UP000033695	Bombilactobacillus mellis	1218508	1572
UP000033699	Streptomyces rubellomurinus (strain ATCC 31215)	359131	6267
UP000033718	Candidatus Magnetoovum chiemensis	1609970	4107
UP000033741	Loktanella sp. S4079	579483	3296
UP000033747	Marinomonas sp. S3726	579484	4618
UP000033750	Mycoplasmopsis meleagridis ATCC 25294	1264554	505
UP000033772	Nocardioides luteus	1844	5357
UP000033774	Elstera litoralis	552518	3298
UP000033836	Leucobacter sp. Ag1	1642040	3028
UP000033900	Microbacterium hydrocarbonoxydans	273678	3663
UP000033924	Erwinia tracheiphila	65700	3807
UP000033956	Microbacterium ketosireducens	92835	3448
UP000033990	alpha proteobacterium HIMB114	684719	1321
UP000034076	Christensenella hongkongensis	270498	3148
UP000034098	Microbacterium trichothecenolyticum	69370	4075
UP000034112	Trichoderma harzianum (Hypocrea lixii)	5544	11497
UP000034166	Mesobacillus campisalis	1408103	4713
UP000034196	Streptomyces mangrovisoli	1428628	7461
UP000034222	Clostridiales bacterium PH28_bin88	1605376	4255
UP000034291	Aspergillus rambellii	308745	7761
UP000034315	Janthinobacterium sp. KBS0711	1649647	5384
UP000034407	Paraclostridium benzoelyticum	1629550	3180
UP000034491	Kiloniella litopenaei	1549748	3735
UP000034680	Diaporthe ampelina	1214573	10703
UP000034681	Prochlorothrix hollandica PCC 9006 = CALU 1027	317619	3617
UP000034805	Scleropages formosus (Asian bonytongue) (Osteoglossum formosum)	113540	24200
UP000034838	Streptomyces malaysiense	1428626	6612
UP000034841	Ceratocystis fimbriata f. sp. platani	88771	5620
UP000034887	Bacillus sp. SA1-12	1455638	5750
UP000034895	Arsukibacterium sp. MJ3	1632859	3329
UP000034908	Rhizobium sp. LC145	1120688	5603
UP000034954	Candidatus Brocadia fulgida	380242	3391
UP000034981	Bacilli bacterium VT-13-104	1637974	3231
UP000035009	Gordonia malaquae NBRC 108250	1223542	4269
UP000035018	Smithella sp. F21	1538640	1346
UP000035029	Actinomyces sp. S4-C9	1219581	1447
UP000035034	Gordonia effusa NBRC 100432	1077974	4419
UP000035039	Smithella sp. D17	1538639	1343
UP000035062	Alishewanella agri BL06	1195246	3152
UP000035068	Geoalkalibacter ferrihydriticus DSM 17813	1121915	2928
UP000035083	Gordonia sihwensis NBRC 108236	1223544	3903
UP000035100	Wenxinia marina DSM 24838	1123501	4030
UP000035170	Variovorax paradoxus	34073	6788
UP000035265	Cellulosimicrobium funkei	264251	3980
UP000035337	Endomicrobium proavitum	1408281	1336
UP000035397	Luteimonas sp. FCS-9	1547516	3200
UP000035489	Microvirga vignae	1225564	5672
UP000035553	Sporolactobacillus inulinus CASD	1069536	2668
UP000035681	Strongyloides stercoralis (Threadworm)	6248	12900
UP000035682	Strongyloides ratti (Parasitic roundworm)	34506	12456
UP000035720	Tetrasphaera jenkinsii Ben 74	1193518	3715
UP000035721	Tetrasphaera japonica T1-X7	1194083	4595
UP000035760	Candidatus Competibacter denitrificans Run_A_D11	1400863	4014
UP000035763	Tetrasphaera australiensis Ben110	1193182	4162
UP000035860	Moraxella bovoculi 237	743974	1900
UP000035900	Chryseobacterium koreense CCUG 49689	1304281	2784
UP000035901	Synechococcus sp. GFB01	1662190	1749
UP000035909	Photobacterium ganghwense	320778	4693
UP000035932	Streptomyces roseus	66430	6493
UP000035948	Candidatus Nitromaritima sp. SCGC AAA799-A02	1628278	1139
UP000035957	Peptococcaceae bacterium CEB3	999898	5055
UP000035996	Alkalihalobacillus macyae	157733	3973
UP000036014	Pedobacter sp. BMA	1663685	4054
UP000036027	Neisseria arctica	1470200	2157
UP000036032	Diaphorobacter sp. J5-51	680496	3328
UP000036045	Niallia circulans (Bacillus circulans)	1397	4949
UP000036046	Puniceibacterium sp. IMCC21224	1618204	5212
UP000036114	Chromobacterium sp. LK11	1628212	4215
UP000036176	Mycolicibacterium chubuense (Mycobacterium chubuense)	1800	5700
UP000036180	Actinobacteria bacterium IMCC26207	1641811	2975
UP000036196	Pluralibacter gergoviae (Enterobacter gergoviae)	61647	4977
UP000036270	Muribacter muris	67855	2190
UP000036334	Mycobacterium haemophilum	29311	3743
UP000036336	Massilia sp. WF1	1406431	4927
UP000036356	Desulfosporosinus acididurans	476652	4388
UP000036403	Lasius niger (Black garden ant)	67767	18044
UP000036407	Candidatus Nitromaritima sp. SCGC AAA799-C22	1628279	1350
UP000036426	Photobacterium aphoticum	754436	4349
UP000036477	Robinsoniella sp. RHS	1504536	6119
UP000036503	Megasphaera cerevisiae DSM 20462	1122219	2843
UP000036611	Paenibacillus sp. D9	665792	4351
UP000036736	Achromatium sp. WMS1	1604834	1173
UP000036756	Clostridium cylindrosporum DSM 605	1121307	2621
UP000036771	Caedimonas varicaedens	1629334	1663
UP000036780	Virgibacillus pantothenticus	1473	3923
UP000036794	bacteria symbiont BFo2 of Frankliniella occidentalis	1628856	2909
UP000036873	Acetobacterium bakii	52689	3495
UP000036893	Aspergillus udagawae	91492	10796
UP000036918	Achromatium sp. WMS3	1604836	3099
UP000036923	Pseudobacteroides cellulosolvens ATCC 35603 = DSM 2933	398512	5771
UP000036932	Paenibacillus solani	1705565	5289
UP000036938	Pseudaestuariivita atlantica	1317121	3978
UP000036947	Tolypocladium ophioglossoides (strain CBS 100239) (Elaphocordyceps ophioglossoides)	1163406	9303
UP000036953	Bacillus sp. FJAT-27916	1679169	3770
UP000036958	Sunxiuqinia dokdonensis	1409788	4693
UP000036959	Candidatus Burkholderia verschuerenii	242163	4492
UP000036987	Zostera marina (Eelgrass)	29655	20559
UP000037003	Achromatium sp. WMS2	1604835	2198
UP000037043	Clostridium homopropionicum DSM 5847	1121318	3499
UP000037046	Roseovarius tolerans	74031	3684
UP000037054	Planktothricoides sp. SR001	1705388	5042
UP000037069	Lucilia cuprina (Green bottle fly) (Australian sheep blowfly)	7375	14353
UP000037077	Bacillus sp. FJAT-27231	1679168	3828
UP000037086	Candidatus Phytoplasma phoenicium	198422	327
UP000037088	Winslowiella iniecta	1560201	4105
UP000037136	Ophiocordyceps unilateralis (Zombie-ant fungus) (Torrubia unilateralis)	268505	8572
UP000037146	Peribacillus loiseleuriae	1679170	4559
UP000037151	Streptomyces acidiscabies	42234	7941
UP000037178	Candidatus Rhodobacter lobularis	1675527	4763
UP000037233	Dorea sp. D27	658665	3591
UP000037251	Streptomyces resistomycificus	67356	7742
UP000037267	Gottschalkia purinilytica (Clostridium purinilyticum)	1503	3284
UP000037269	Aneurinibacillus migulanus (Bacillus migulanus)	47500	5649
UP000037288	Streptomyces caatingaensis	1678637	5460
UP000037386	Candidatus Phytoplasma pruni	479893	549
UP000037395	Kitasatospora aureofaciens (Streptomyces aureofaciens)	1894	7620
UP000037397	Luteipulveratus halotolerans	1631356	3827
UP000037405	Rossellomorea marisflavi	189381	4143
UP000037505	Aspergillus nomiae NRRL 13137	1509407	11914
UP000037510	Operophtera brumata (Winter moth) (Phalaena brumata)	104452	16814
UP000037515	Vibrio nereis	693	3660
UP000037558	Priestia koreensis	284581	4402
UP000037600	Catenovulum maritimum	1513271	3470
UP000037660	Ideonella sakaiensis (strain NBRC 110686 / TISTR 2288 / 201-F6)	1547922	5527
UP000037687	Streptomyces sp. MMG1121	1415544	7568
UP000037688	Paenibacillus xylanivorans	1705561	5949
UP000037694	Nocardiopsis sp. NRRL B-16309	1519494	5253
UP000037696	Penicillium nordicum	229535	12938
UP000037699	Streptomyces sp. WM4235	1415551	6275
UP000037702	Streptomyces sp. NRRL B-3648	1519493	7028
UP000037737	Microbacterium chocolatum	84292	2721
UP000037738	Streptomyces sp. NRRL WC-3618	1519490	7314
UP000037741	Streptomyces sp. MMG1533	1415546	8476
UP000037751	Malassezia pachydermatis	77020	4201
UP000037755	Flavobacterium akiainvivens	1202724	3833
UP000037758	Streptomyces sp. AS58	1519489	8128
UP000037773	Streptomyces caelestis	36816	6882
UP000037778	Apilactobacillus kunkeei	148814	1332
UP000037784	Ardenticatena maritima	872965	3144
UP000037838	Brevundimonas sp. AAP58	1523422	2824
UP000037849	beta proteobacterium AAP65	1523424	3930
UP000037870	Actinobacteria bacterium OV320	1592329	9056
UP000037878	Novosphingobium sp. ST904	1684385	4594
UP000037880	Novosphingobium sp. AAP1	1523413	3896
UP000037890	Bosea sp. AAP35	1523417	3974
UP000037904	Fusarium langsethiae	179993	11939
UP000037930	Blastomonas sp. AAP25	1523416	3685
UP000037934	Frigoribacterium sp. RIT-PI-h	1690245	2815
UP000037939	Amantichitinum ursilacus	857265	4368
UP000037950	bacterium 336/3	1664068	4024
UP000037951	Shimia sp. SK013	1389006	3979
UP000037960	beta proteobacterium AAP99	1523428	3159
UP000037971	alpha proteobacterium AAP81b	1523432	3055
UP000037982	Streptomyces chattanoogensis	66876	7423
UP000037991	Actinobacteria bacterium OK074	1592327	9137
UP000037998	Novosphingobium sp. AAP83	1523425	3633
UP000038010	Phialophora attinorum	1664694	11848
UP000038011	Ahrensia marina	1514904	3161
UP000038055	Capnocytophaga cynodegmi	28189	2439
UP000039046	[Torrubiella] hemipterigena	1531966	11466
UP000039324	Plasmodiophora brassicae (Clubroot disease agent)	37360	9720
UP000039865	Stylonychia lemnae (Ciliate)	5949	20720
UP000040453	Oceanobacillus oncorhynchi	545501	4386
UP000040576	Caldibacillus thermoamylovorans	35841	3440
UP000041254	Vitrella brassicaformis (strain CCMP3155)	1169540	23030
UP000041641	Propionispora sp. 2/2-37	1677858	3949
UP000042335	Bacillus sp. B-jedd	1476857	4594
UP000042527	Treponema phagedenis	162	3110
UP000042958	Penicillium brasilianum	104259	11934
UP000042997	Rhodococcus ruber	1830	5828
UP000043372	Polaromonas sp. CG9_12	1504672	4739
UP000043699	Planococcus massiliensis	1499687	3353
UP000044071	Legionella massiliensis	1034943	3750
UP000044136	Jeotgalicoccus saudimassiliensis	1461582	2181
UP000044377	Brenneria goodwinii	1109412	4958
UP000044602	Verticillium longisporum	100787	20580
UP000044841	Rhizoctonia solani	456999	11878
UP000044872	Rhodococcus sp. RD6.2	260936	5489
UP000045051	Capnocytophaga canis	1848903	2202
UP000045545	Syntrophomonas zehnderi OL-4	690567	2631
UP000046155	Syntrophaceticus schinkii	499207	3167
UP000048908	Jannaschia rubra	282197	3629
UP000048926	Roseibium aggregatum	187304	6164
UP000048949	Nereida ignava	282199	2850
UP000048965	Streptomyces lydicamycinicus	1546107	7436
UP000048984	Prosthecomicrobium hirschii	665126	5501
UP000049222	Jannaschia donghaensis	420998	3480
UP000049455	Jannaschia seosinensis	313367	3710
UP000049855	Sporomusa ovata	2378	5251
UP000049978	Erythrobacter sp. SG61-1L	1603897	3133
UP000049983	Roseibium album	311410	6265
UP000050261	Cobetia sp. UCD-24C	1716176	3112
UP000050262	Frankia sp. R43	269536	7583
UP000050277	Herpetosiphon geysericola	70996	4675
UP000050280	Croceitalea dokdonensis DOKDO 023	1300341	3682
UP000050301	Acidiplasma cupricumulans	312540	1683
UP000050326	Oxobacter pfennigii	36849	4273
UP000050391	Pseudoalteromonas sp. P1-26	1723759	4183
UP000050398	Rossellomorea vietnamensis	218284	4104
UP000050414	Shewanella sp. P1-14-1	1723761	4159
UP000050417	Ornatilinea apprima	1134406	3344
UP000050424	Neonectria ditissima	78410	12683
UP000050430	Leptolinea tardivitalis	229920	2936
UP000050435	Caloranaerobacter sp. TR13	1302151	2024
UP000050454	Jiulongibacter sediminis	1605367	3642
UP000050471	Aliiroseovarius crassostreae	154981	3465
UP000050482	Alicyclobacillus ferrooxydans	471514	4142
UP000050488	Corynebacterium lowii	1544413	2252
UP000050501	Levilinea saccharolytica	229921	3080
UP000050514	Bellilinea caldifistulae	360411	2990
UP000050525	Alligator mississippiensis (American alligator)	8496	31974
UP000050535	Halolamina pelagica	699431	3464
UP000050543	Pedobacter sp. Hv1	1740090	4261
UP000050544	Thermanaerothrix daxensis	869279	2394
UP000050580	Lampropedia cohaerens	1610491	2593
UP000050662	SAR11 cluster bacterium PRT-SC02	1527298	632
UP000050670	Aquamicrobium sp. LC103	1120658	5730
UP000050782	Phaeobacter sp. CECT 5382	1712645	3864
UP000050802	Microbacterium sp. Root180	1736483	3036
UP000050805	Lysobacter sp. Root96	1736612	3827
UP000050811	Sanguibacter sp. Leaf3	1736209	3669
UP000050821	Curtobacterium sp. Leaf261	1736311	3343
UP000050827	Allomuricauda eckloniae	346185	3374
UP000050856	Erwinia sp. Leaf53	1736225	4431
UP000050862	Aureimonas sp. Leaf324	1736336	3989
UP000050865	Lacticaseibacillus camelliae DSM 22697 = JCM 13995	1423730	2347
UP000050867	Wenjunlia vitaminophila (Streptomyces vitaminophilus)	76728	5132
UP000050868	Rathayibacter sp. Leaf296	1736327	3537
UP000050871	Sphingomonas sp. Leaf198	1736299	3637
UP000050886	Nocardioides sp. Root190	1736488	4603
UP000050893	Novosphingobium sp. Leaf2	1735670	3387
UP000050911	Secundilactobacillus kimchicus JCM 15530	1302272	2470
UP000050923	Brevundimonas sp. Root1279	1736443	3236
UP000050929	Companilactobacillus tucceti DSM 20183	1423811	2050
UP000050934	Limosilactobacillus secaliphilus	396268	1466
UP000050937	Bosea sp. Root381	1736524	5096
UP000050940	Stenotrophomonas daejeonensis	659018	2805
UP000050949	Schleiferilactobacillus harbinensis DSM 16991	1122147	2943
UP000050966	Leifsonia sp. Leaf336	1736341	3857
UP000050969	Lacticaseibacillus saniviri JCM 17471 = DSM 24301	1293598	2333
UP000050971	Aeromicrobium sp. Root472D3	1736540	3523
UP000050986	Bosea sp. Leaf344	1736346	3876
UP000050996	Cytobacillus solani	1637975	4897
UP000051002	Devosia sp. Root413D1	1736531	5472
UP000051005	Frigoribacterium sp. Leaf164	1736282	2793
UP000051008	Ligilactobacillus agilis DSM 20509	1423718	1951
UP000051024	Flavobacterium sp. Leaf359	1736351	3309
UP000051054	Ligilactobacillus hayakitensis DSM 18933 = JCM 14209	1423755	1536
UP000051058	Devosia sp. Root436	1736537	3690
UP000051073	Leifsonia sp. Root60	1736567	3234
UP000051080	Sphingomonas sp. Leaf357	1736350	3524
UP000051084	Limosilactobacillus equigenerosi DSM 18793 = JCM 14505	1423742	1490
UP000051125	Altererythrobacter sp. Root672	1736584	3454
UP000051127	Mycobacterium sp. Root135	1736457	5995
UP000051131	Liquorilactobacillus cacaonum DSM 21116	1423729	1801
UP000051139	Furfurilactobacillus siliginis	348151	1922
UP000051144	Methanomassiliicoccales archaeon RumEn M1	1713724	1877
UP000051150	Phenylobacterium sp. Root1277	1736442	4022
UP000051156	Massilia sp. Root335	1736517	5603
UP000051159	Aureimonas sp. Leaf460	1736384	4794
UP000051170	Angustibacter sp. Root456	1736539	3495
UP000051173	Ramlibacter sp. Leaf400	1736365	4275
UP000051177	Streptomyces sp. Root264	1736503	7235
UP000051178	Sphingomonas sp. Leaf412	1736370	3084
UP000051182	Brevundimonas sp. Leaf363	1736353	2955
UP000051183	Chryseobacterium sp. Leaf404	1736366	3502
UP000051184	Cognatishimia activa	1715691	3406
UP000051186	Pseudolabrys sp. Root1462	1736466	4414
UP000051195	Rhizobacter sp. Root29	1736511	5611
UP000051200	Plantibacter sp. Leaf314	1736333	3521
UP000051216	Microbacterium sp. Root61	1736570	3629
UP000051221	Vibrio furnissii	29494	4417
UP000051230	Amylolactobacillus amylophilus DSM 20533 = JCM 1125	1423721	1532
UP000051236	Agrilactobacillus composti DSM 18527 = JCM 14202	1423734	3260
UP000051249	Pediococcus argentinicus	480391	1746
UP000051254	Stenotrophomonas koreensis	266128	2597
UP000051256	Lentilactobacillus senioris DSM 24302 = JCM 17472	1423802	1539
UP000051274	Nocardioides sp. Root151	1736475	4609
UP000051275	Variovorax sp. Root473	1736541	5226
UP000051291	Ligilactobacillus araffinosus DSM 20653	1423820	1386
UP000051296	Weissella halotolerans DSM 20190	1123500	1304
UP000051303	Noviherbaspirillum sp. Root189	1736487	5322
UP000051315	Lapidilactobacillus concavus DSM 17758	1423735	1720
UP000051323	Sphingomonas sp. Leaf343	1736345	3242
UP000051324	Ligilactobacillus apodemi DSM 16634 = JCM 16172	1423724	1944
UP000051325	Xylophilus sp. Leaf220	1735686	3792
UP000051348	Afipia sp. Root123D2	1736436	4397
UP000051371	Sphingomonas sp. Leaf339	1736343	3477
UP000051378	Holzapfeliella floricola DSM 23037 = JCM 16512	1423744	1222
UP000051381	Microbacterium sp. Leaf203	1735677	3079
UP000051395	Nocardioides sp. Root122	1736431	4143
UP000051401	Roseovarius indicus	540747	5534
UP000051403	Acidovorax sp. Leaf160	1736280	3935
UP000051405	Chryseobacterium sp. Leaf180	1736289	3021
UP000051407	Microbacterium sp. Root53	1736553	2609
UP000051412	Limosilactobacillus panis DSM 6035	1423782	1852
UP000051414	Nocardioides sp. Root79	1736600	4673
UP000051427	Sphingomonas sp. Leaf231	1736301	3320
UP000051430	Pseudoxanthomonas sp. Root65	1736576	3422
UP000051442	Secundilactobacillus similis DSM 23365 = JCM 2765	1423804	3000
UP000051445	Limosilactobacillus frumenti DSM 13145	1423746	1641
UP000051450	Dellaglioa algida DSM 15638	1423719	1505
UP000051451	Liquorilactobacillus ghanensis DSM 18630	1423750	2384
UP000051455	Sphingomonas sp. Leaf33	1736215	2982
UP000051456	Frondihabitans sp. Leaf304	1736329	3039
UP000051458	Aurantimonas sp. Leaf443	1736378	3439
UP000051461	Loigolactobacillus bifermentans DSM 20003	1423726	2964
UP000051463	Loktanella sp. 3ANDIMAR09	1225657	3527
UP000051465	Rhizobacter sp. Root1221	1736433	5887
UP000051494	Candidatus Berkiella cookevillensis	437022	2537
UP000051495	Nocardioides sp. Leaf285	1736322	3888
UP000051497	Candidatus Berkiella aquae	295108	3170
UP000051500	Ligilactobacillus ceti DSM 22408	1122146	1244
UP000051542	Marmoricola sp. Leaf446	1736379	3454
UP000051555	Mesorhizobium sp. Root172	1736481	6374
UP000051560	Pseudorhodoferax sp. Leaf267	1736316	5708
UP000051562	Bosea thiooxidans	53254	4956
UP000051565	Fructilactobacillus lindneri DSM 20690 = JCM 11027	1122148	1407
UP000051568	Pediococcus cellicola	319652	1916
UP000051570	Sphingomonas sp. Root720	1736595	5044
UP000051574	Oryctes borbonicus	1629725	8820
UP000051576	Liquorilactobacillus vini DSM 20605	1133569	2108
UP000051585	Aureimonas sp. Leaf454	1736381	4218
UP000051587	Thalassovita gelatinovora (Thalassobius gelatinovorus)	53501	3764
UP000051604	Caulobacter sp. Root655	1736578	4520
UP000051611	Rhizobacter sp. Root404	1736528	4707
UP000051621	Liquorilactobacillus capillatus DSM 19910	1423731	2051
UP000051638	Loigolactobacillus rennini DSM 20253	1423796	2191
UP000051639	Limosilactobacillus ingluviei	148604	1922
UP000051641	Phycicoccus sp. Root563	1736562	3714
UP000051642	Sphingomonas sp. Leaf20	1735685	3757
UP000051643	Salegentibacter mishustinae	270918	3284
UP000051645	Lactobacillus selangorensis	81857	2031
UP000051647	Companilactobacillus versmoldensis DSM 14857 = KCTC 3814	1423815	2261
UP000051648	Pelomonas sp. Root1444	1736464	5103
UP000051650	Microbacterium sp. Root166	1736478	3075
UP000051652	Deinococcus sp. Leaf326	1736338	4249
UP000051653	Agreia sp. Leaf210	1735682	3263
UP000051655	Weissella kandleri	1616	1222
UP000051657	Paenibacillus sp. Root444D2	1736538	6948
UP000051658	Carnobacterium divergens DSM 20623	1449336	2398
UP000051672	Lacticaseibacillus brantae DSM 23927	1423727	1863
UP000051677	Mycobacterium gordonae	1778	6407
UP000051679	Lacticaseibacillus sharpeae JCM 1186 = DSM 20505	1291052	2271
UP000051681	Thalassovita mediterranea	340021	3260
UP000051686	Liquorilactobacillus oeni DSM 19972	1423777	1945
UP000051694	Oerskovia sp. Root918	1736607	3618
UP000051697	Paucilactobacillus oligofermentans DSM 15707 = LMG 22743	1423778	1735
UP000051699	Nocardioides sp. Root614	1736571	4780
UP000051702	Aeromicrobium sp. Root344	1736521	3738
UP000051708	Pedobacter sp. Leaf194	1736297	3909
UP000051720	Frigoribacterium sp. Leaf172	1736285	2858
UP000051722	Paenibacillus sp. Leaf72	1736234	6399
UP000051728	Duganella sp. Root198D2	1736489	5756
UP000051733	Paucilactobacillus vaccinostercus DSM 20634	1423813	2398
UP000051738	Lysobacter sp. Root494	1736549	3007
UP000051759	Pseudorhodoferax sp. Leaf274	1736318	5992
UP000051760	Massilia sp. Leaf139	1736272	4544
UP000051768	Yonghaparkia sp. Root332	1736516	2389
UP000051771	Bosea sp. Root483D1	1736544	6046
UP000051777	Sphingomonas sp. Leaf17	1735683	2908
UP000051789	Lacticaseibacillus thailandensis DSM 22698 = JCM 13996	1423810	1860
UP000051790	Lacticaseibacillus manihotivorans DSM 13343 = JCM 12514	1423769	2921
UP000051802	Stenotrophomonas panacihumi	676599	3403
UP000051804	Lacticaseibacillus nasuensis JCM 17158	1291734	2092
UP000051810	Dyadobacter sp. Leaf189	1736295	4994
UP000051813	Lapidilactobacillus dextrinicus DSM 20335	1423738	1691
UP000051815	Brevundimonas sp. Root1423	1736462	5246
UP000051819	Leifsonia sp. Root227	1736496	3674
UP000051822	Chryseobacterium sp. Leaf394	1736361	3828
UP000051826	Burkholderia sp. Leaf177	1736287	5955
UP000051829	Kitasatospora sp. Root187	1736486	6308
UP000051830	Geodermatophilus sp. Leaf369	1736354	4093
UP000051836	Amazona aestiva (Blue-fronted Amazon parrot)	12930	16092
UP000051841	Kandleria vitulina DSM 20405	1410657	2043
UP000051845	Secundilactobacillus collinoides DSM 20515 = JCM 1123	1423733	3157
UP000051854	Sphingomonas sp. Root710	1736594	4422
UP000051858	Rathayibacter sp. Leaf294	1736326	3713
UP000051859	Pediococcus stilesii	331679	1784
UP000051864	Pseudomonas sp. TTU2014-080ASC	1729724	4032
UP000051865	Devosia sp. Root685	1736587	4002
UP000051870	Shimia thalassica	1715693	4063
UP000051876	Massilia sp. Root351	1736522	6059
UP000051878	Psychrobacillus sp. FJAT-21963	1712028	3910
UP000051880	Sphingomonas sp. Leaf42	1736219	3352
UP000051886	Ligilactobacillus pobuzihii	449659	2094
UP000051888	Heyndrickxia shackletonii	157838	4690
UP000051907	Rhizobium sp. Root149	1736473	5002
UP000051912	Curvibacter sp. PAE-UM	1714344	3353
UP000051914	Leifsonia sp. Root112D2	1736426	3046
UP000051931	Lactobacillus psittaci DSM 15354	1122152	1327
UP000051939	Nocardioides sp. Root1257	1736439	5063
UP000051952	Bodo saltans (Flagellated protozoan)	75058	18124
UP000051962	Rhodococcus sp. Leaf258	1736310	4231
UP000051970	Aeromicrobium sp. Root495	1736550	3422
UP000051971	Cellulomonas sp. Leaf395	1736362	3738
UP000051980	Williamsia sp. Leaf354	1736349	4063
UP000051992	Weissella viridescens (Lactobacillus viridescens)	1629	1462
UP000051999	Furfurilactobacillus rossiae DSM 15814	1114972	2635
UP000052012	Apilactobacillus ozensis DSM 23829 = JCM 17196	1423781	1405
UP000052013	Lentilactobacillus diolivorans DSM 14421	1423739	2962
UP000052015	Caloramator mitchellensis	908809	2400
UP000052022	Tritonibacter multivorans	928856	3869
UP000052050	Methylobacterium sp. Leaf99	1736251	4109
UP000052052	Pseudoxanthomonas dokdonensis	344882	3001
UP000052057	Rhizobium sp. Root482	1736543	4853
UP000052062	Methylobacterium sp. Leaf93	1736249	4228
UP000052066	Rhizobium sp. Root1212	1736429	4824
UP000052067	Methylobacterium sp. Leaf399	1736364	3885
UP000052082	Francolinus leucoscepus papillomavirus 1	485362	8
